TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,LineCoverage,LineCoverageBitString,BranchCoverage,BranchCoverageBitString,CBranchCoverage,CBranchCoverageBitString,WeakMutationScore,WeakMutationCoverageBitString,MethodTraceCoverage,MethodTraceCoverageBitString
com.cheops.candidatemanager.controllers.SalaryPackageController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.39325842696629215,1068,420,0.0,00000000000000000000000000000000000000000000000,0.0,0000000000000,0.0,0000000000000,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,0.0,00000
com.cheops.candidatemanager.controllers.SearchController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.3614457831325301,1162,420,0.0,000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,000000000000000000000000000000000000,0.0,000000000000000000000000000000000000,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,0.0,0000000000000000000
com.cheops.candidatemanager.controllers.SignInWidgetConfigController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.4332344213649852,1011,438,1.0,1111111111111,1.0,111,0.3333333333333333,010,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,0.5,10
com.cheops.candidatemanager.controllers.SkillsController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.4073714839961203,1031,420,0.0,00000000000000000000000,0.0,0000000,0.0,0000000,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,0.0,0000
com.cheops.candidatemanager.controllers.TestController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.42685370741482964,998,426,1.0,11,1.0,11,0.0,00,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,1.0,11
com.cheops.candidatemanager.controllers.UserController,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.4332344213649852,1011,438,1.0,111111111111,1.0,111,0.0,000,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,1.0,111
com.cheops.candidatemanager.candidatemanagerApplication,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.4292730844793713,1018,437,0.5,1011011000,0.75,01111110,0.5,00101011,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,1.0,11
com.cheops.candidatemanager.exceptions.StorageException,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.428,1000,428,1.0,1111,1.0,11,0.0,00,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,1.0,11
com.cheops.candidatemanager.exceptions.StorageFileNotFoundException,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.428,1000,428,1.0,1111,1.0,11,0.0,00,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,1.0,11
com.cheops.candidatemanager.models.Address,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.4097287184284378,1069,438,0.3870967741935484,1111111111000000000000000000011,0.1875,0000000100011000,0.0,0000000000000000,0.42424242424242425,000011111111111111111111001111111010101000100010010101111100010011110000100101111111111011111111111111111111110111111011111111111101111001111110111101101000000000110000000000000001111100000111000111110111111011111110110011111111111111111111111111111111111111111110111111111111011111011111111111111111101000000111111111111111111111000111111111111111111111111111111000111111111111111111111111111111110001111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111101110111100010100011101110100000000111111111111111110000000000000000000111111111111111101100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111011001111111100000000000000000000000000000000000000000011111111111111111111,0.1875,1100000000000100
